Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2016,OCT THRU DEC,NA,MICHIGAN,26,NA,ADDED & REPLACED,10,NA
2016,OCT THRU DEC,NA,MINNESOTA,27,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,330,NA
2016,OCT THRU DEC,NA,MISSOURI,29,NA,ADDED & REPLACED,1400,NA
2016,OCT THRU DEC,NA,MONTANA,30,NA,ADDED & REPLACED,2700,NA
2016,OCT THRU DEC,NA,NEBRASKA,31,NA,ADDED & REPLACED,190,NA
2016,OCT THRU DEC,NA,NEW JERSEY,34,NA,ADDED & REPLACED,400,NA
2016,OCT THRU DEC,NA,NEW MEXICO,35,NA,ADDED & REPLACED,1100,NA
2016,OCT THRU DEC,NA,NEW YORK,36,NA,ADDED & REPLACED,240,NA
2016,OCT THRU DEC,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,220,NA
2016,OCT THRU DEC,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,13500,NA
2016,OCT THRU DEC,NA,OHIO,39,NA,ADDED & REPLACED,20,NA
2016,OCT THRU DEC,NA,OKLAHOMA,40,NA,ADDED & REPLACED,120,NA
2016,OCT THRU DEC,NA,OREGON,41,NA,ADDED & REPLACED,1500,NA
2016,OCT THRU DEC,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,120,NA
2016,OCT THRU DEC,NA,SOUTH CAROLINA,45,NA,ADDED & REPLACED,760,NA
2016,OCT THRU DEC,NA,SOUTH DAKOTA,46,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,TENNESSEE,47,NA,ADDED & REPLACED,120,NA
2016,OCT THRU DEC,NA,TEXAS,48,NA,ADDED & REPLACED,2200,NA
2016,OCT THRU DEC,NA,UTAH,49,NA,ADDED & REPLACED,440,NA
2016,OCT THRU DEC,NA,VERMONT,50,NA,ADDED & REPLACED,20,NA
2016,OCT THRU DEC,NA,VIRGINIA,51,NA,ADDED & REPLACED,230,NA
2016,OCT THRU DEC,NA,WASHINGTON,53,NA,ADDED & REPLACED,3100,NA
2016,OCT THRU DEC,NA,WEST VIRGINIA,54,NA,ADDED & REPLACED,80,NA
2016,OCT THRU DEC,NA,WISCONSIN,55,NA,ADDED & REPLACED,10,NA
2016,OCT THRU DEC,NA,WYOMING,56,NA,ADDED & REPLACED,50,NA
2015,JAN THRU MAR,NA,ALABAMA,1,NA,ADDED & REPLACED,2800,NA
2015,JAN THRU MAR,NA,ARIZONA,4,NA,ADDED & REPLACED,3400,NA
2015,JAN THRU MAR,NA,ARKANSAS,5,NA,ADDED & REPLACED,1200,NA
2015,JAN THRU MAR,NA,CALIFORNIA,6,NA,ADDED & REPLACED,250000,NA
2015,JAN THRU MAR,NA,COLORADO,8,NA,ADDED & REPLACED,200,NA
2015,JAN THRU MAR,NA,CONNECTICUT,9,NA,ADDED & REPLACED,290,NA
2015,JAN THRU MAR,NA,FLORIDA,12,NA,ADDED & REPLACED,54000,NA
2015,JAN THRU MAR,NA,GEORGIA,13,NA,ADDED & REPLACED,47000,NA
2015,JAN THRU MAR,NA,HAWAII,15,NA,ADDED & REPLACED,3400,NA
2015,JAN THRU MAR,NA,IDAHO,16,NA,ADDED & REPLACED,2600,NA
2015,JAN THRU MAR,NA,ILLINOIS,17,NA,ADDED & REPLACED,2300,NA
2015,JAN THRU MAR,NA,INDIANA,18,NA,ADDED & REPLACED,490,NA
2015,JAN THRU MAR,NA,IOWA,19,NA,ADDED & REPLACED,1700,NA
2015,JAN THRU MAR,NA,KANSAS,20,NA,ADDED & REPLACED,450,NA
2015,JAN THRU MAR,NA,KENTUCKY,21,NA,ADDED & REPLACED,250,NA
2015,JAN THRU MAR,NA,LOUISIANA,22,NA,ADDED & REPLACED,3100,NA
2015,JAN THRU MAR,NA,MAINE,23,NA,ADDED & REPLACED,20,NA
2015,JAN THRU MAR,NA,MARYLAND,24,NA,ADDED & REPLACED,1600,NA
2015,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,260,NA
2015,JAN THRU MAR,NA,MICHIGAN,26,NA,ADDED & REPLACED,7500,NA
2015,JAN THRU MAR,NA,MINNESOTA,27,NA,ADDED & REPLACED,690,NA
2015,JAN THRU MAR,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,22000,NA
2015,JAN THRU MAR,NA,MISSOURI,29,NA,ADDED & REPLACED,220,NA
2015,JAN THRU MAR,NA,MONTANA,30,NA,ADDED & REPLACED,1400,NA
